ean;descripcion;typefield;Cantidad;id_tienda
 91661393907.0;RELOJ GUES W80053L1 DAMA BRAZ.DORAD;0088      ; 1;1098
 91661393907.0;RELOJ GUES W80053L1 DAMA BRAZ.DORAD;0103      ; 1;1118
 91661302015.0;RELOJ GUESS I10579L1 DMA EXT MET RO;0009      ; 2;1011
 91661302015.0;RELOJ GUESS I10579L1 DMA EXT MET RO;0042      ; 2;1046
 91661302015.0;RELOJ GUESS I10579L1 DMA EXT MET RO;0068      ; 1;1076
 91661302015.0;RELOJ GUESS I10579L1 DMA EXT MET RO;0132      ; 1;1163
 91661302015.0;RELOJ GUESS I10579L1 DMA EXT MET RO;0136      ; 1;1168
 91661302015.0;RELOJ GUESS I10579L1 DMA EXT MET RO;0142      ; 1;1174
 91661283048.0;RELOJ GUESS I11040L1 DAMA CORREA CA;0009      ; 1;1011
 91661283048.0;RELOJ GUESS I11040L1 DAMA CORREA CA;0040      ; 1;1044
 91661283048.0;RELOJ GUESS I11040L1 DAMA CORREA CA;0068      ; 1;1076
 91661283048.0;RELOJ GUESS I11040L1 DAMA CORREA CA;0148      ; 1;1181
 91661284502.0;RELOJ GUESS I14503L1 DAMA;0010      ; 1;1013
 91661284502.0;RELOJ GUESS I14503L1 DAMA;0039      ; 1;1043
 91661284502.0;RELOJ GUESS I14503L1 DAMA;0099      ; 1;1113
 91661284502.0;RELOJ GUESS I14503L1 DAMA;0122      ; 1;1144
 91661284502.0;RELOJ GUESS I14503L1 DAMA;0126      ; 1;1148
 91661304774.0;RELOJ GUESS I16540L1 DAMA;0009      ; 1;1011
 91661304774.0;RELOJ GUESS I16540L1 DAMA;0068      ; 1;1076
 91661304774.0;RELOJ GUESS I16540L1 DAMA;0099      ; 1;1113
 91661304774.0;RELOJ GUESS I16540L1 DAMA;0103      ; 1;1118
 91661304774.0;RELOJ GUESS I16540L1 DAMA;0118      ; 1;1138
 91661304774.0;RELOJ GUESS I16540L1 DAMA;0125      ; 1;1147
 91661304774.0;RELOJ GUESS I16540L1 DAMA;0136      ; 1;1168
 91661304774.0;RELOJ GUESS I16540L1 DAMA;0148      ; 1;1181
 91661304774.0;RELOJ GUESS I16540L1 DAMA;0154      ; 1;1187
 91661246715.0;RELOJ GUESS I65157L1 DAMA;0034      ; 1;1038
 91661246715.0;RELOJ GUESS I65157L1 DAMA;0039      ; 1;1043
 91661246715.0;RELOJ GUESS I65157L1 DAMA;0064      ; 1;1071
 91661246715.0;RELOJ GUESS I65157L1 DAMA;0072      ; 1;1080
 91661246715.0;RELOJ GUESS I65157L1 DAMA;0125      ; 1;1147
 91661246715.0;RELOJ GUESS I65157L1 DAMA;0132      ; 1;1163
 91661246715.0;RELOJ GUESS I65157L1 DAMA;0136      ; 1;1168
 91661246715.0;RELOJ GUESS I65157L1 DAMA;0142      ; 1;1174
 91661246715.0;RELOJ GUESS I65157L1 DAMA;0148      ; 1;1181
 91661246715.0;RELOJ GUESS I65157L1 DAMA;0154      ; 2;1187
 91661246715.0;RELOJ GUESS I65157L1 DAMA;0156      ; 1;1190
 91661246739.0;RELOJ GUESS I70562L1 DAMA;0009      ; 1;1011
 91661246739.0;RELOJ GUESS I70562L1 DAMA;0010      ; 1;1013
 91661246739.0;RELOJ GUESS I70562L1 DAMA;0068      ; 1;1076
 91661246739.0;RELOJ GUESS I70562L1 DAMA;0099      ; 1;1113
 91661246739.0;RELOJ GUESS I70562L1 DAMA;0126      ; 1;1148
 91661246739.0;RELOJ GUESS I70562L1 DAMA;0137      ; 1;1169
 91661246739.0;RELOJ GUESS I70562L1 DAMA;0143      ; 1;1175
 91661246739.0;RELOJ GUESS I70562L1 DAMA;0154      ; 1;1187
 91661290923.0;RELOJ GUESS I70607L1 DAMA;0018      ; 1;1021
 91661290923.0;RELOJ GUESS I70607L1 DAMA;0039      ; 1;1043
 91661290923.0;RELOJ GUESS I70607L1 DAMA;0099      ; 1;1113
 91661290923.0;RELOJ GUESS I70607L1 DAMA;0122      ; 1;1144
 91661290923.0;RELOJ GUESS I70607L1 DAMA;0125      ; 1;1147
 91661243448.0;RELOJ GUESS I80266L2 DAMA;0009      ; 1;1011
 91661243448.0;RELOJ GUESS I80266L2 DAMA;0064      ; 1;1071
 91661243448.0;RELOJ GUESS I80266L2 DAMA;0088      ; 1;1098
 91661243448.0;RELOJ GUESS I80266L2 DAMA;0103      ; 1;1118
 91661243448.0;RELOJ GUESS I80266L2 DAMA;0123      ; 1;1145
 91661243448.0;RELOJ GUESS I80266L2 DAMA;0125      ; 1;1147
 91661243448.0;RELOJ GUESS I80266L2 DAMA;0136      ; 1;1168
 91661283079.0;RELOJ GUESS I80332L1 DAMA;0039      ; 1;1043
 91661283079.0;RELOJ GUESS I80332L1 DAMA;0042      ; 1;1046
 91661283079.0;RELOJ GUESS I80332L1 DAMA;0099      ; 1;1113
 91661283079.0;RELOJ GUESS I80332L1 DAMA;0119      ; 1;1140
 91661283079.0;RELOJ GUESS I80332L1 DAMA;0123      ; 1;1145
 91661283079.0;RELOJ GUESS I80332L1 DAMA;0126      ; 1;1148
 91661283079.0;RELOJ GUESS I80332L1 DAMA;0142      ; 1;1174
 91661283123.0;RELOJ GUESS I85532G1 CAB.;0040      ; 1;1044
 91661283123.0;RELOJ GUESS I85532G1 CAB.;0099      ; 1;1113
 91661283123.0;RELOJ GUESS I85532G1 CAB.;0119      ; 1;1140
 91661282706.0;RELOJ GUESS I90192L1 DAMA;0009      ; 1;1011
 91661282706.0;RELOJ GUESS I90192L1 DAMA;0122      ; 1;1144
 91661282706.0;RELOJ GUESS I90192L1 DAMA;0126      ; 1;1148
 91661283093.0;RELOJ GUESS I90199G1 CAB.PLATA MOV.;0064      ; 1;1071
 91661283093.0;RELOJ GUESS I90199G1 CAB.PLATA MOV.;0099      ; 1;1113
 91661283093.0;RELOJ GUESS I90199G1 CAB.PLATA MOV.;0112      ; 1;1132
 91661283093.0;RELOJ GUESS I90199G1 CAB.PLATA MOV.;0132      ; 1;1163
 91661299636.0;RELOJ GUESS I95263L1 DAMA;0009      ; 1;1011
 91661299636.0;RELOJ GUESS I95263L1 DAMA;0039      ; 1;1043
 91661299636.0;RELOJ GUESS I95263L1 DAMA;0088      ; 5;1098
 91661299636.0;RELOJ GUESS I95263L1 DAMA;0103      ; 1;1118
 91661299636.0;RELOJ GUESS I95263L1 DAMA;0122      ; 1;1144
 91661299636.0;RELOJ GUESS I95263L1 DAMA;0123      ; 1;1145
 91661299636.0;RELOJ GUESS I95263L1 DAMA;0132      ; 1;1163
 91661299636.0;RELOJ GUESS I95263L1 DAMA;0137      ; 1;1169
 91661299636.0;RELOJ GUESS I95263L1 DAMA;0154      ; 1;1187
 91661333101.0;RELOJ GUESS W10102L3 DAMA CORR.TRAN;0136      ; 1;1168
 91661363139.0;RELOJ GUESS W10214L2 DAMA;0125      ; 1;1147
 91661375866.0;RELOJ GUESS W11125L1 DAMA ACE.PERLA;0068      ; 1;1076
 91661363511.0;RELOJ GUESS W11558L1 DAMA;0010      ; 1;1013
 91661363511.0;RELOJ GUESS W11558L1 DAMA;0068      ; 1;1076
 91661363511.0;RELOJ GUESS W11558L1 DAMA;0123      ; 1;1145
 91661363511.0;RELOJ GUESS W11558L1 DAMA;0125      ; 1;1147
 91661363511.0;RELOJ GUESS W11558L1 DAMA;0142      ; 1;1174
 91661363511.0;RELOJ GUESS W11558L1 DAMA;0154      ; 1;1187
 91661375415.0;RELOJ GUESS W12080L1 DAMA ACE.PLATA;0088      ; 1;1098
 91661375415.0;RELOJ GUESS W12080L1 DAMA ACE.PLATA;0122      ; 1;1144
 91661375415.0;RELOJ GUESS W12080L1 DAMA ACE.PLATA;0129      ; 1;1156
 91661384523.0;RELOJ GUESS W12086L1 DAMA ACE.GRIS;0103      ; 1;1118
 91661388231.0;RELOJ GUESS W12093G1 CAB.BOXED SET;0137      ; 1;1169
 91661336195.0;RELOJ GUESS W12575L1 DAMA CORREA BC;0039      ; 1;1043
 91661336195.0;RELOJ GUESS W12575L1 DAMA CORREA BC;0088      ; 1;1098
 91661336195.0;RELOJ GUESS W12575L1 DAMA CORREA BC;0118      ; 1;1138
 91661336195.0;RELOJ GUESS W12575L1 DAMA CORREA BC;0129      ; 1;1156
 91661336195.0;RELOJ GUESS W12575L1 DAMA CORREA BC;0132      ; 1;1163
 91661361678.0;RELOJ GUESS W13087G2 CAB.P CAFE MOV;0039      ; 1;1043
 91661361678.0;RELOJ GUESS W13087G2 CAB.P CAFE MOV;0126      ; 1;1148
 91661361678.0;RELOJ GUESS W13087G2 CAB.P CAFE MOV;0142      ; 1;1174
 91661361678.0;RELOJ GUESS W13087G2 CAB.P CAFE MOV;0143      ; 1;1175
 91661388675.0;RELOJ GUESS W13564L1 DAMA SPORT STA;0068      ; 1;1076
 91661388675.0;RELOJ GUESS W13564L1 DAMA SPORT STA;0088      ; 1;1098
 91661388675.0;RELOJ GUESS W13564L1 DAMA SPORT STA;0099      ; 1;1113
 91661388675.0;RELOJ GUESS W13564L1 DAMA SPORT STA;0123      ; 1;1145
 91661388675.0;RELOJ GUESS W13564L1 DAMA SPORT STA;0126      ; 1;1148
 91661388675.0;RELOJ GUESS W13564L1 DAMA SPORT STA;0129      ; 1;1156
 91661388675.0;RELOJ GUESS W13564L1 DAMA SPORT STA;0142      ; 2;1174
 91661375323.0;RELOJ GUESS W14043L1 DAMA ACE.ORO.M;0010      ; 1;1013
 91661376566.0;RELOJ GUESS W15065L2 DAMA COMB.GRIS;0072      ; 1;1080
 91661386848.0;RELOJ GUESS W15067L2 DAMA BRAZ.ACE.;0065      ; 1;1072
 91661386848.0;RELOJ GUESS W15067L2 DAMA BRAZ.ACE.;0111      ; 1;1131
 91661375835.0;RELOJ GUESS W16563L1 DAMA ACE.PERLA;0034      ; 1;1038
 91661375835.0;RELOJ GUESS W16563L1 DAMA ACE.PERLA;0040      ; 1;1044
 91661375835.0;RELOJ GUESS W16563L1 DAMA ACE.PERLA;0118      ; 1;1138
 91661375835.0;RELOJ GUESS W16563L1 DAMA ACE.PERLA;0154      ; 1;1187
 91661375835.0;RELOJ GUESS W16563L1 DAMA ACE.PERLA;0155      ; 1;1188
 91661397127.0;RELOJ GUESS W19007G1 CAB.EXT.ACE.PT;0156      ; 1;1190
 91661401206.0;RELOJ GUESS W65014L1 DAMA CORREA BC;0039      ; 1;1043
 91661401206.0;RELOJ GUESS W65014L1 DAMA CORREA BC;0136      ; 1;1168
 91661352997.0;RELOJ GUESS W70009L1 DAMA ACE.ORO;0034      ; 1;1038
 91661352997.0;RELOJ GUESS W70009L1 DAMA ACE.ORO;0119      ; 1;1140
 91661352997.0;RELOJ GUESS W70009L1 DAMA ACE.ORO;0136      ; 1;1168
 91661352997.0;RELOJ GUESS W70009L1 DAMA ACE.ORO;0137      ; 1;1169
 91661352997.0;RELOJ GUESS W70009L1 DAMA ACE.ORO;0154      ; 1;1187
 91661309724.0;RELOJ GUESS W75000L1 DAMA CORR.BLAN;0040      ; 1;1044
 91661309724.0;RELOJ GUESS W75000L1 DAMA CORR.BLAN;0143      ; 1;1175
 91661332333.0;RELOJ GUESS W75000L3 DAMA PLAS BCO.;0065      ; 1;1072
 91661332333.0;RELOJ GUESS W75000L3 DAMA PLAS BCO.;0072      ; 1;1080
