2012/05/07 19:01:04 - Obten Descripcion de Archivo - Loading transformation from XML file [file:///root/Transformations/DWDNK/SELL_OUT/Liverpool/LiverpoolExtract2.ktr]
2012/05/07 19:01:05 - LiverpoolExtract2 - Dispatching started for transformation [LiverpoolExtract2]
2012/05/07 19:01:06 - Generate Rows.0 - Finished processing (I=0, O=0, R=0, W=1, U=0, E=0)
2012/05/07 19:01:06 - Campos.0 - Finished processing (I=0, O=0, R=0, W=16, U=0, E=0)
2012/05/07 19:01:06 - Excel Input Variables.0 - Finished processing (I=0, O=0, R=1, W=1, U=0, E=0)
2012/05/07 19:01:06 - 1000 columns.0 - Finished processing (I=0, O=0, R=0, W=500, U=0, E=0)
2012/05/07 19:01:06 - colnr.0 - Finished processing (I=0, O=0, R=500, W=500, U=0, E=0)
2012/05/07 19:01:06 - Set format.0 - Finished processing (I=0, O=0, R=500, W=500, U=0, E=0)
2012/05/07 19:01:06 - Calculator.0 - Finished processing (I=0, O=0, R=500, W=500, U=0, E=0)
2012/05/07 19:01:06 - Add constants.0 - Finished processing (I=0, O=0, R=500, W=1000, U=0, E=0)
2012/05/07 19:01:06 - Select Date Columns.0 - Finished processing (I=0, O=0, R=500, W=500, U=0, E=0)
2012/05/07 19:01:06 - Normalised field.0 - Finished processing (I=0, O=0, R=500, W=500, U=0, E=0)
2012/05/07 19:01:06 - Select values.0 - Finished processing (I=0, O=0, R=500, W=500, U=0, E=0)
2012/05/07 19:01:06 - Append streams.0 - Finished processing (I=0, O=0, R=516, W=516, U=0, E=0)
2012/05/07 19:01:07 - LiverpoolExtractTemplate - Dispatching started for transformation [LiverpoolExtractTemplate]
2012/05/07 19:01:10 - Microsoft Excel Input 2.0 - Finished processing (I=1, O=0, R=0, W=1, U=0, E=0)
2012/05/07 19:01:10 - Row Normaliser 2.0 - Finished processing (I=0, O=0, R=1, W=500, U=0, E=0)
2012/05/07 19:01:10 - Filter rows 2.0 - Finished processing (I=0, O=0, R=500, W=19, U=0, E=0)
2012/05/07 19:01:10 - layout.txt.0 - Finished processing (I=0, O=20, R=19, W=19, U=0, E=0)
