2012/06/19 05:48:48 - Obten Descripcion de Archivo - Loading transformation from XML file [file:///root/Transformations/DWDNK/SELL_OUT/Sanborns/SanbornsExtract.ktr]
2012/06/19 05:48:48 - SanbornsExtract - Dispatching started for transformation [SanbornsExtract]
2012/06/19 05:48:49 - Campos.0 - Finished processing (I=0, O=0, R=0, W=2, U=0, E=0)
2012/06/19 05:48:49 - Generate Rows.0 - Finished processing (I=0, O=0, R=0, W=1, U=0, E=0)
2012/06/19 05:48:49 - Excel Input Variables.0 - Finished processing (I=0, O=0, R=1, W=1, U=0, E=0)
2012/06/19 05:48:49 - 1000 columns.0 - Finished processing (I=0, O=0, R=0, W=500, U=0, E=0)
2012/06/19 05:48:49 - colnr.0 - Finished processing (I=0, O=0, R=500, W=500, U=0, E=0)
2012/06/19 05:48:49 - Set format.0 - Finished processing (I=0, O=0, R=500, W=500, U=0, E=0)
2012/06/19 05:48:49 - Calculator.0 - Finished processing (I=0, O=0, R=500, W=500, U=0, E=0)
2012/06/19 05:48:49 - Add constants.0 - Finished processing (I=0, O=0, R=500, W=1000, U=0, E=0)
2012/06/19 05:48:49 - Select Date Columns.0 - Finished processing (I=0, O=0, R=500, W=500, U=0, E=0)
2012/06/19 05:48:49 - Normalised field.0 - Finished processing (I=0, O=0, R=500, W=500, U=0, E=0)
2012/06/19 05:48:49 - Select values.0 - Finished processing (I=0, O=0, R=500, W=500, U=0, E=0)
2012/06/19 05:48:49 - Append streams.0 - Finished processing (I=0, O=0, R=502, W=502, U=0, E=0)
2012/06/19 05:48:50 - SanbornsExtractTemplate - Dispatching started for transformation [SanbornsExtractTemplate]
