2012/05/08 17:18:05 - DW Inventario - Loading transformation from XML file [file:///root/Transformations/DWDNK\Trans\INVENTARIO PREDW 2.0.ktr]
2012/05/08 17:18:06 - INVENTARIO PREDW 20 - Dispatching started for transformation [INVENTARIO PREDW 20]
2012/05/08 17:19:38 - INVENTARIO.0 - linenr 50000
2012/05/08 17:19:38 - calculo de valor del inventario.0 - Linenr 50000
2012/05/08 17:19:38 - Select values.0 - linenr 50000
2012/05/08 17:19:38 - Add sequence.0 - linenr 50000
2012/05/08 17:19:38 - Select values .0 - linenr 50000
2012/05/08 17:21:31 - INVENTARIO.0 - Finished reading query, closing connection.
2012/05/08 17:21:31 - INVENTARIO.0 - Finished processing (I=83395, O=0, R=0, W=83395, U=0, E=0)
2012/05/08 17:21:31 - Quita Null a Medidas.0 - Finished processing (I=0, O=0, R=83395, W=83395, U=0, E=0)
2012/05/08 17:21:31 - Add sequence.0 - Finished processing (I=0, O=0, R=83395, W=83395, U=0, E=0)
2012/05/08 17:21:31 - Select values .0 - Finished processing (I=0, O=0, R=83395, W=83395, U=0, E=0)
2012/05/08 17:21:31 - calculo de valor del inventario.0 - Finished processing (I=0, O=0, R=83395, W=83395, U=0, E=0)
2012/05/08 17:21:31 - estado almacen.0 - Finished processing (I=0, O=0, R=83395, W=83395, U=0, E=0)
2012/05/08 17:21:31 - Select values.0 - Finished processing (I=0, O=0, R=83395, W=83395, U=0, E=0)
2012/05/08 17:21:31 - If field value is null.0 - Finished processing (I=0, O=0, R=83395, W=83395, U=0, E=0)
2012/05/08 17:21:31 - String operations.0 - Finished processing (I=0, O=0, R=83395, W=83395, U=0, E=0)
2012/05/08 17:21:32 - CD ALMACEN.0 - Finished processing (I=0, O=0, R=83395, W=83395, U=0, E=0)
2012/05/08 17:21:55 - InventarioDWplano.0 - linenr 50000
2012/05/08 17:22:06 - GENERO.0 - Finished processing (I=0, O=0, R=83395, W=83395, U=0, E=0)
2012/05/08 17:22:39 - Rangos de precios.0 - Finished processing (I=0, O=0, R=83395, W=83395, U=0, E=0)
2012/05/08 17:23:11 - String operations 2.0 - Finished processing (I=0, O=0, R=83395, W=83395, U=0, E=0)
2012/05/08 17:23:42 - InventarioDWplano.0 - Finished processing (I=83395, O=8443, R=83395, W=83395, U=74947, E=0)
