2012/05/26 01:06:56 - DW Inventario - Loading transformation from XML file [file:///root/Transformations/DWDNK\Trans\INVENTARIO PREDW 2.0.ktr]
2012/05/26 01:06:57 - INVENTARIO PREDW 20 - Dispatching started for transformation [INVENTARIO PREDW 20]
2012/05/26 01:07:08 - INVENTARIO.0 - Finished reading query, closing connection.
2012/05/26 01:07:09 - Add sequence.0 - Finished processing (I=0, O=0, R=16469, W=16469, U=0, E=0)
2012/05/26 01:07:09 - calculo de valor del inventario.0 - Finished processing (I=0, O=0, R=16469, W=16469, U=0, E=0)
2012/05/26 01:07:09 - Select values.0 - Finished processing (I=0, O=0, R=16469, W=16469, U=0, E=0)
2012/05/26 01:07:08 - Quita Null a Medidas.0 - Finished processing (I=0, O=0, R=16469, W=16469, U=0, E=0)
2012/05/26 01:07:08 - If field value is null.0 - Finished processing (I=0, O=0, R=16469, W=16469, U=0, E=0)
2012/05/26 01:07:08 - Select values .0 - Finished processing (I=0, O=0, R=16469, W=16469, U=0, E=0)
2012/05/26 01:07:09 - String operations.0 - Finished processing (I=0, O=0, R=16469, W=16469, U=0, E=0)
2012/05/26 01:07:09 - GENERO.0 - Finished processing (I=0, O=0, R=16469, W=16469, U=0, E=0)
2012/05/26 01:07:09 - CD ALMACEN.0 - Finished processing (I=0, O=0, R=16469, W=16469, U=0, E=0)
2012/05/26 01:07:09 - estado almacen.0 - Finished processing (I=0, O=0, R=16469, W=16469, U=0, E=0)
2012/05/26 01:07:09 - INVENTARIO.0 - Finished processing (I=16469, O=0, R=0, W=16469, U=0, E=0)
2012/05/26 01:07:09 - Rangos de precios.0 - Finished processing (I=0, O=0, R=16469, W=16469, U=0, E=0)
2012/05/26 01:07:22 - String operations 2.0 - Finished processing (I=0, O=0, R=16469, W=16469, U=0, E=0)
2012/05/26 01:07:35 - InventarioDWplano.0 - Finished processing (I=16469, O=8238, R=16469, W=16469, U=8230, E=0)
