2012/06/01 01:06:17 - DW Inventario - Loading transformation from XML file [file:///root/Transformations/DWDNK\Trans\INVENTARIO PREDW 2.0.ktr]
2012/06/01 01:06:18 - INVENTARIO PREDW 20 - Dispatching started for transformation [INVENTARIO PREDW 20]
2012/06/01 01:06:40 - INVENTARIO.0 - Finished reading query, closing connection.
2012/06/01 01:06:40 - Select values.0 - Finished processing (I=0, O=0, R=48867, W=48867, U=0, E=0)
2012/06/01 01:06:40 - If field value is null.0 - Finished processing (I=0, O=0, R=48867, W=48867, U=0, E=0)
2012/06/01 01:06:40 - Quita Null a Medidas.0 - Finished processing (I=0, O=0, R=48867, W=48867, U=0, E=0)
2012/06/01 01:06:40 - Select values .0 - Finished processing (I=0, O=0, R=48867, W=48867, U=0, E=0)
2012/06/01 01:06:40 - Add sequence.0 - Finished processing (I=0, O=0, R=48867, W=48867, U=0, E=0)
2012/06/01 01:06:40 - calculo de valor del inventario.0 - Finished processing (I=0, O=0, R=48867, W=48867, U=0, E=0)
2012/06/01 01:06:40 - String operations.0 - Finished processing (I=0, O=0, R=48867, W=48867, U=0, E=0)
2012/06/01 01:06:40 - estado almacen.0 - Finished processing (I=0, O=0, R=48867, W=48867, U=0, E=0)
2012/06/01 01:06:40 - INVENTARIO.0 - Finished processing (I=48867, O=0, R=0, W=48867, U=0, E=0)
2012/06/01 01:06:51 - CD ALMACEN.0 - Finished processing (I=0, O=0, R=48867, W=48867, U=0, E=0)
2012/06/01 01:07:04 - GENERO.0 - Finished processing (I=0, O=0, R=48867, W=48867, U=0, E=0)
2012/06/01 01:07:20 - Rangos de precios.0 - Finished processing (I=0, O=0, R=48867, W=48867, U=0, E=0)
2012/06/01 01:07:32 - String operations 2.0 - Finished processing (I=0, O=0, R=48867, W=48867, U=0, E=0)
2012/06/01 01:07:43 - InventarioDWplano.0 - Finished processing (I=48867, O=28469, R=48867, W=48867, U=20393, E=0)
